T      Bact  Phage     Lys   VMR  P_spec B_spec 
 585  830841 10191752  347813  8.6   98   70 
 586  830841 10191752  347813  8.6   98   70 
 587  830841 10191752  347813  8.6   98   70 
 588  830841 10191752  347813  8.6   98   70 
 589  830841 10191752  347813  8.6   98   70 
 590  830841 10191752  347813  8.6   98   70 
 591  830841 10191752  347813  8.6   98   70 
 592  830841 10191752  347813  8.6   98   70 
 593  830841 10191752  347813  8.6   98   70 
 594  830841 10191752  347813  8.6   98   70 
 595  830841 10191752  347813  8.6   98   70 
 596  830841 10191752  347813  8.6   98   70 
 597  830841 10191752  347813  8.6   98   70 
 598  830841 10191752  347813  8.6   98   70 
 599  830841 10191752  347813  8.6   98   70 
 600  830841 10191752  347813  8.6   98   70 
 601  830841 10191752  347813  8.6   98   70 
 602  830841 10191752  347813  8.6   98   70 
 603  830841 10191752  347813  8.6   98   70 
 604  830841 10191752  347813  8.6   98   70 
 605  830841 10191752  347813  8.6   98   70 
 606  830841 10191752  347813  8.6   98   70 
 607  830841 10191752  347813  8.6   98   70 
 608  830841 10191752  347813  8.6   98   70 
 609  830841 10191752  347813  8.6   98   70 
 610  830841 10191752  347813  8.6   98   70 
 611  830841 10191752  347813  8.6   98   70 
 612  830841 10191752  347813  8.6   98   70 
 613  830841 10191752  347813  8.6   98   70 
 614  830841 10191752  347813  8.6   98   70 
 615  830841 10191752  347813  8.6   98   70 
 616  830841 10191752  347813  8.6   98   70 
 617  830841 10191752  347813  8.6   98   70 
 618  830841 10191752  347813  8.6   98   70 
 619  830841 10191752  347813  8.6   98   70 
 620  830841 10191752  347813  8.6   98   70 
 621  830841 10191752  347813  8.6   98   70 
 622  830841 10191752  347813  8.6   98   70 
 623  830841 10191752  347813  8.6   98   70 
 624  830841 10191752  347813  8.6   98   70 
 625  830841 10191752  347813  8.6   98   70 
 626  830841 10191752  347813  8.6   98   70 
